model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
GradientBoosting,0.8573000000000001,0.07029694161199333,0.855249306934882,0.0923966671107451,0.8724000000000001,0.09324719834933379,0.859253688739671,0.0669055830697839,0.9284034000000002,0.06370043246509396,0.9154939561631732,0.07968595013070161
LinearSVC,0.8299,0.05765882412952938,0.832825809395264,0.08613971900784054,0.8371999999999999,0.08094047195315829,0.8310099447031728,0.057557772417184835,0.9207677999999999,0.05538817001273824,0.9122998815828292,0.06797690269155533
RandomForest,0.858,0.07206594202534233,0.8575264084816461,0.08852015401872892,0.8684000000000001,0.0940650838515546,0.8590753067089267,0.06944025919382447,0.9254781999999999,0.06633596579880327,0.9070875081018667,0.08369382742758928
MLP,0.842,0.06876408946535977,0.8308283263790297,0.09871126674686569,0.8783999999999998,0.08532432244090778,0.8484006546979763,0.060882040285121335,0.919096,0.05881379314412571,0.9037170682126183,0.07196325449202928
LogisticRegression,0.8397,0.05961845351902377,0.842487036772751,0.08922945117523984,0.8482,0.08195706192879293,0.8410800893570652,0.058024625045093536,0.9127805999999999,0.05425099644651699,0.9028478661500465,0.06755509563066457
