Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8858333333333333,0.9166666666666666,0.8820849309828039,0.8927739661748463,0.1254641383025444,0.11509416434670641,0.13939194376962127,0.1097094803563146,,efficientnet_b6
LogisticRegressionCV,0.8795,0.9086666666666666,0.8730520947181265,0.8842815264295518,0.1183944677761592,0.12615863030328128,0.1296231395350321,0.10898241059189796,,efficientnet_b6
NuSVC,0.8776666666666666,0.9003333333333334,0.8795705084227841,0.883643515126989,0.1264673871003904,0.11727886993543778,0.14116245108084158,0.11171695389042724,,efficientnet_b6
HistGradientBoostingClassifier,0.8768333333333335,0.9083333333333332,0.8727839578601087,0.8837857721795901,0.12399025499342005,0.11621101496846155,0.13709255068741297,0.1084635372306373,,efficientnet_b6
ExtraTreesClassifier,0.8763333333333334,0.8996666666666666,0.8758407700954756,0.8815585113460314,0.12513059844285354,0.12275042430340787,0.13913214385596404,0.11282909231533149,,efficientnet_b6
GradientBoostingClassifier,0.8748333333333334,0.9003333333333334,0.8744147923701332,0.8808123999679532,0.12339739327338589,0.11804377719021586,0.13801902518042847,0.10945301288877371,,efficientnet_b6
MLPClassifier,0.8721666666666668,0.9013333333333333,0.8666987918681974,0.8784393635678075,0.1166644047399777,0.1122021984336017,0.13084531494731858,0.10445602511401532,,efficientnet_b6
RandomForestClassifier,0.8653333333333334,0.8953333333333333,0.8635093253543431,0.8719523140066243,0.12502399769644226,0.12418802948217941,0.14158502203739534,0.11082266111188428,,efficientnet_b6
GaussianNB,0.8646666666666667,0.8853333333333335,0.867958447276002,0.870216882846135,0.12379149136080933,0.11836102962264788,0.14049782446889206,0.10997971119990951,,efficientnet_b6
NearestCentroid,0.8611666666666666,0.8870000000000001,0.861944480610072,0.8677123194703495,0.12139021102763324,0.11567627241573786,0.14082928318599305,0.10722296084266075,,efficientnet_b6
BernoulliNB,0.8601666666666666,0.884,0.860844471144232,0.8656484442947268,0.12003575856107765,0.12167168939404105,0.13875039620945268,0.10844724049656766,,efficientnet_b6
KNeighborsClassifier,0.849,0.9166666666666666,0.8237187885122568,0.8623237225496506,0.1076522178127325,0.09011104260855048,0.1247770784356505,0.09038397040022957,,efficientnet_b6
AdaBoostClassifier,0.8468333333333333,0.875,0.8449034637855816,0.8516045557917403,0.10214491339921598,0.12109913294487289,0.12031447012835332,0.09406681308838892,,efficientnet_b6
LogisticRegression,0.8356666666666668,0.8393333333333335,0.8464006897419798,0.8384377334389074,0.09700859068488042,0.09057593499379402,0.12003836071928768,0.08805096625615826,,efficientnet_b6
BaggingClassifier,0.8348333333333333,0.8166666666666667,0.8625234568932605,0.8298988308007548,0.1192906115333474,0.15093044755780724,0.13937322891989842,0.12134476488851174,,efficientnet_b6
Perceptron,0.8275,0.8276666666666668,0.8398270399971409,0.8296999137682606,0.08928185705953927,0.08038863933002804,0.1150466592569624,0.08070745288162935,,efficientnet_b6
SGDClassifier,0.825,0.78,0.8713733850783756,0.8169561992179413,0.09362157870918436,0.10686440005914039,0.12408521150747565,0.09428119653154347,,efficientnet_b6
PassiveAggressiveClassifier,0.8248333333333333,0.8266666666666668,0.8394128135362795,0.8273976887329146,0.09847292352046152,0.0953589709116732,0.12533951311130684,0.08875998063442435,,efficientnet_b6
LinearSVC,0.8164999999999999,0.8266666666666665,0.8253083641107217,0.8205360951728972,0.09914761721796445,0.09546378021707153,0.12358679617045801,0.08858148008124637,,efficientnet_b6
RidgeClassifierCV,0.7756666666666667,0.8003333333333333,0.7686795468681822,0.7818376590522306,0.08275868534480235,0.08262969603397236,0.08571642491373554,0.07425161919158467,,efficientnet_b6
DecisionTreeClassifier,0.7578333333333334,0.752,0.7730320248644059,0.7557520552163759,0.08794268967155065,0.114873843846195,0.10952106046420818,0.0850495424126416,,efficientnet_b6
ExtraTreeClassifier,0.737,0.7483333333333333,0.7431588946651734,0.7411205072562665,0.08792610533851707,0.08815705681717526,0.10064164854463686,0.07690031587694446,,efficientnet_b6
RidgeClassifier,0.7025,0.7350000000000001,0.6937691172839422,0.7117222586269916,0.05339709729938511,0.06606814663663571,0.05771126177860556,0.04931095628726166,,efficientnet_b6
LinearDiscriminantAnalysis,0.6881666666666666,0.7173333333333334,0.6813135561593915,0.6972384176512175,0.06206381124831657,0.06478682993736715,0.06371292772676199,0.055750124050628756,,efficientnet_b6
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 2304 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_b6
