Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8831666666666667,0.9066666666666666,0.8803805531606802,0.8880728969527866,0.12137510727767316,0.11882760622010356,0.1321565174521232,0.10951383058965206,,resnet152
LogisticRegressionCV,0.8818333333333334,0.9040000000000001,0.8818594008715944,0.886376267025177,0.11475444798931905,0.11740528097151337,0.12853460944406397,0.10295496603482183,,resnet152
NuSVC,0.8795,0.8936666666666667,0.8814732555790469,0.8822946745993623,0.12632200916704892,0.1324172697699712,0.13640187194104594,0.11812528439274783,,resnet152
RandomForestClassifier,0.876,0.8913333333333334,0.8797428221269312,0.878831072044893,0.11484337159801604,0.12626427312057306,0.12749876278323263,0.10554279251745918,,resnet152
MLPClassifier,0.8753333333333334,0.9153333333333334,0.8650996214069403,0.883497288633723,0.11118003417880389,0.1011731189595339,0.12706193808368796,0.0948896518864389,,resnet152
NearestCentroid,0.8734999999999999,0.8996666666666666,0.8696033243849213,0.8788301556701998,0.11251777637333579,0.11269871339105872,0.12754667554053695,0.10069517293979886,,resnet152
HistGradientBoostingClassifier,0.8726666666666667,0.8943333333333333,0.8733510158172525,0.8771683208360408,0.11583321342919453,0.12017625944142767,0.1294576353494111,0.10391675524689994,,resnet152
ExtraTreesClassifier,0.8716666666666667,0.8876666666666667,0.8738230284887925,0.8744910631509137,0.11802542099056457,0.12946943011125572,0.12825866199613487,0.10891127551327884,,resnet152
GradientBoostingClassifier,0.8703333333333333,0.8903333333333334,0.8736457543904234,0.8750634949592195,0.11676614806241292,0.11880375976093238,0.1335646396204537,0.1036328742212755,,resnet152
GaussianNB,0.8676666666666666,0.9066666666666666,0.8555168153148018,0.8744058234228363,0.10202450685987166,0.10667708282475669,0.11752691071205967,0.08968969040016346,,resnet152
KNeighborsClassifier,0.8633333333333333,0.9036666666666667,0.8504980886536332,0.8712651070064755,0.10171037311896954,0.0940974671993531,0.1178661051832267,0.0875532446155793,,resnet152
BaggingClassifier,0.8491666666666667,0.8373333333333333,0.8746627944303407,0.8478116233814893,0.11289929140610226,0.12988713048900058,0.1337640987400888,0.10652508130843201,,resnet152
AdaBoostClassifier,0.8474999999999999,0.8696666666666666,0.8461218545932748,0.8517838503412932,0.10752325329899574,0.11688028062936877,0.12132341858142753,0.09864851299158235,,resnet152
BernoulliNB,0.8391666666666666,0.8993333333333334,0.8209070339448745,0.8509972471133196,0.09633059396335797,0.09813596010977152,0.1222184267658958,0.08059232721896044,,resnet152
LogisticRegression,0.8343333333333331,0.8483333333333333,0.8390808211595682,0.8370923532003868,0.09582449234581594,0.11274602727664804,0.11717242160791608,0.08928510935913853,,resnet152
PassiveAggressiveClassifier,0.8281666666666666,0.8446666666666666,0.8327717828485431,0.8327499992812435,0.09488721375050138,0.09744742172063864,0.11931159690662456,0.08466338036380532,,resnet152
Perceptron,0.8266666666666668,0.8363333333333334,0.8363927731543411,0.8290521087685064,0.08745475020451053,0.10586626784139821,0.11696181134292534,0.07992020191177543,,resnet152
LinearSVC,0.821,0.836,0.8261951764623495,0.8248252586940914,0.09142756695876798,0.10091580649234289,0.11468545266877742,0.08262266505872616,,resnet152
SGDClassifier,0.8195,0.784,0.857905485651143,0.8124896868833098,0.08664438816218857,0.10883014288330231,0.11426239264347159,0.08481966778333815,,resnet152
DecisionTreeClassifier,0.7876666666666666,0.7916666666666667,0.792112169323449,0.7891683901312702,0.09637081162537406,0.09925556239660661,0.10890007495018224,0.09240277002567786,,resnet152
RidgeClassifierCV,0.7683333333333333,0.8033333333333333,0.7620497551534864,0.776001892479643,0.07139094246938238,0.09862386459000007,0.09372811024653674,0.06694717579652049,,resnet152
ExtraTreeClassifier,0.7493333333333333,0.7573333333333333,0.7579681393902364,0.7518795727056313,0.09454628496138809,0.10562827904180457,0.11219662039579767,0.08686996848830801,,resnet152
RidgeClassifier,0.6883333333333332,0.7120000000000001,0.6874197492963032,0.6961076377557605,0.043817804600413277,0.051730068625510245,0.0662260087661689,0.032913525311046514,,resnet152
LinearDiscriminantAnalysis,0.6206666666666667,0.636,0.6234496267589219,0.6270621672137802,0.05768304199098149,0.054990908339470096,0.06938766213749413,0.04664475369822019,,resnet152
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 2048 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",resnet152
