Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
SVC,0.8711666666666666,0.8976666666666666,0.8666644170341439,0.8758989389793375,0.1254747650592208,0.1327742444904131,0.1373913233216505,0.11635189348600294,,efficientnet_b7
GradientBoostingClassifier,0.8655000000000002,0.8783333333333333,0.8713883482257614,0.8683034683058501,0.12762151072605277,0.1367905942185597,0.14080114620739978,0.11952701183077248,,efficientnet_b7
LogisticRegressionCV,0.8643333333333334,0.8893333333333333,0.8598440713873762,0.8682351724151843,0.12764142483274513,0.14136477637657835,0.13697616523000491,0.12070205564930088,,efficientnet_b7
NuSVC,0.8643333333333333,0.882,0.8666414455662247,0.8668564726858492,0.12244998979175128,0.14183088521193118,0.13638649494125252,0.11590442579243844,,efficientnet_b7
HistGradientBoostingClassifier,0.8616666666666667,0.8876666666666667,0.8596751882325748,0.8662335955573932,0.12114041439585717,0.13317532303946802,0.13380062148912017,0.11103940706251537,,efficientnet_b7
ExtraTreesClassifier,0.861,0.885,0.8574204609340474,0.8648164054136196,0.11995415791042843,0.1339589489358587,0.13178892973888254,0.11241603158414777,,efficientnet_b7
RandomForestClassifier,0.8593333333333334,0.8799999999999999,0.8586637880294908,0.8621006634381569,0.1205293878410296,0.1420563268566381,0.13456954493352322,0.11534681614583671,,efficientnet_b7
MLPClassifier,0.8564999999999999,0.8766666666666666,0.8554179966645948,0.8603974277077098,0.12029235220910763,0.12938315191708696,0.1349070441211247,0.1136793547382353,,efficientnet_b7
GaussianNB,0.8458333333333332,0.8783333333333333,0.8425347034036241,0.8530774117977981,0.12093214350756103,0.12233151678941938,0.1385437809767941,0.10747663645367457,,efficientnet_b7
NearestCentroid,0.8456666666666667,0.8703333333333333,0.8485208392436352,0.8519823890585458,0.12139741897311215,0.12146741675582522,0.13991155152978071,0.10702284500236693,,efficientnet_b7
BernoulliNB,0.845,0.8726666666666667,0.8442974921313965,0.8512141710734153,0.11933147112141038,0.12365543524919018,0.13679549717751635,0.10690564249170839,,efficientnet_b7
BaggingClassifier,0.8413333333333334,0.8403333333333333,0.8550733371260721,0.8416960203134553,0.12137133104650373,0.13299498737421148,0.13600991617913705,0.11637447466408228,,efficientnet_b7
KNeighborsClassifier,0.8393333333333333,0.9083333333333334,0.8151905477094118,0.853800809951309,0.10788419717456307,0.0864773573447601,0.12758199970654494,0.08973749200741772,,efficientnet_b7
AdaBoostClassifier,0.8338333333333333,0.8376666666666667,0.8418457604510469,0.8343713596668753,0.12676323073615103,0.14140603476042551,0.14140275212647407,0.1242253516941914,,efficientnet_b7
LogisticRegression,0.8318333333333333,0.8540000000000001,0.8301541494692097,0.8352290741191141,0.10549210081012385,0.12792185114357907,0.12068022379467509,0.10177074900817269,,efficientnet_b7
Perceptron,0.8191666666666666,0.828,0.8243980042131354,0.8209365630233965,0.09630463817144704,0.11240996397117117,0.11383563521298501,0.09356066483615198,,efficientnet_b7
PassiveAggressiveClassifier,0.8160000000000001,0.8396666666666667,0.8138540673022702,0.820092278546165,0.10329085148259744,0.12356239989036578,0.11786571819516148,0.09878723521884582,,efficientnet_b7
SGDClassifier,0.8126666666666669,0.7776666666666665,0.8551376255865877,0.8063071931135589,0.10389417693018217,0.11948082133408133,0.13473290596832543,0.10098839458955608,,efficientnet_b7
LinearSVC,0.8123333333333334,0.8363333333333334,0.8094559567539946,0.8169217247195266,0.10138540328863915,0.11756274920228771,0.11430696021948915,0.09577735199292638,,efficientnet_b7
DecisionTreeClassifier,0.7758333333333334,0.7766666666666666,0.7856017209240611,0.776894863006399,0.09428458693409718,0.09929753269845128,0.11101160142646199,0.08919476289123157,,efficientnet_b7
RidgeClassifierCV,0.7524999999999998,0.7936666666666666,0.7395774710207181,0.762236340721332,0.0884943501021393,0.1019526033671202,0.09792393315304265,0.08472865292266454,,efficientnet_b7
ExtraTreeClassifier,0.7425,0.744,0.7507230292204717,0.7424147672936676,0.07762892502154078,0.10170545708072895,0.09212562738465663,0.07527393921918259,,efficientnet_b7
LinearDiscriminantAnalysis,0.7265,0.7609999999999999,0.7131457196578067,0.7351632657972802,0.07162576352123584,0.083,0.0684832755099267,0.06992121740695248,,efficientnet_b7
RidgeClassifier,0.6808333333333333,0.7120000000000001,0.6749687881086547,0.6906572738120016,0.06911041889614039,0.076,0.0782807088324093,0.0650341052775526,,efficientnet_b7
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 2560 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",efficientnet_b7
