Classification Method,Accuracy,Recall,Precision,F1 Score,Accuracy_std,Recall_std,Precision_std,F1_std,error,Transfer Learning Method
LogisticRegressionCV,0.8855000000000001,0.916,0.8805556640222598,0.8910729947003089,0.11444321736127484,0.11740528097151337,0.1296740032589501,0.10198143961648468,,resnet101
SVC,0.883,0.9109999999999999,0.8799141093952787,0.8880526261857558,0.11754148203932091,0.1237295437638077,0.13218652538101058,0.10571497988354199,,resnet101
NuSVC,0.8825,0.9040000000000001,0.8831592423671207,0.8867828705950407,0.11965053280282542,0.12403225386970923,0.13315976300431304,0.10823190147881341,,resnet101
RandomForestClassifier,0.8823333333333334,0.9016666666666667,0.8845436986764923,0.8861693919233214,0.12000277774562831,0.12666885963013955,0.13380393151684922,0.10909154237595352,,resnet101
NearestCentroid,0.8805000000000002,0.9213333333333333,0.8674044254685178,0.8875472531509899,0.11305861311726763,0.11166616915312054,0.12670744004815207,0.09973047497758289,,resnet101
ExtraTreesClassifier,0.8790000000000001,0.908,0.8762114395519621,0.8846209470973656,0.11672189169131898,0.12006664815842909,0.13231850305350581,0.1037487566122808,,resnet101
GradientBoostingClassifier,0.8768333333333332,0.9016666666666667,0.875734586317574,0.8817852196800118,0.1152110382443164,0.11868024266911488,0.13114576844191084,0.1032663988913532,,resnet101
HistGradientBoostingClassifier,0.8761666666666666,0.9043333333333333,0.8740210340184296,0.8820340397328493,0.12133527928842461,0.1203979512561018,0.13496990228716155,0.10722625467862376,,resnet101
GaussianNB,0.8751666666666666,0.924,0.8569320489980361,0.883670688028855,0.11202789831109036,0.10547037498748167,0.12381118466414773,0.09721579287836249,,resnet101
MLPClassifier,0.8743333333333334,0.9099999999999999,0.8643464783041063,0.8803851291436805,0.11519114549304561,0.1209131920015347,0.12735665750748196,0.10392160207111277,,resnet101
KNeighborsClassifier,0.8605,0.9243333333333332,0.8367256795981973,0.8725727503642549,0.11132048329036308,0.0964486046209759,0.1282533808033169,0.09379970777376373,,resnet101
BaggingClassifier,0.8594999999999999,0.8693333333333333,0.8692582152347574,0.8610567913458569,0.11217062895428555,0.13088417271261896,0.12659233952366775,0.1042018434462144,,resnet101
AdaBoostClassifier,0.8588333333333333,0.8823333333333334,0.8575126568959389,0.8634298368545364,0.1087225061030757,0.11654326807385029,0.12412048963592126,0.09914642856505387,,resnet101
BernoulliNB,0.8371666666666666,0.924,0.804406666257916,0.8543403801753866,0.10734950706298875,0.0863944442658207,0.12369670895948974,0.0873765082887297,,resnet101
LogisticRegression,0.8351666666666666,0.8469999999999999,0.8440401361419786,0.8383855413902419,0.09626482569800181,0.1071494283699171,0.11784563343801299,0.08677862227330578,,resnet101
PassiveAggressiveClassifier,0.8286666666666667,0.8426666666666666,0.8345896418836787,0.8323942202497745,0.09300179209742862,0.10071742649611339,0.11329452435396117,0.08374627281982436,,resnet101
SGDClassifier,0.8254999999999999,0.7963333333333333,0.8607666123979749,0.8195173274056046,0.09951004974373191,0.125436570956533,0.12585707817121553,0.09958206624958556,,resnet101
Perceptron,0.8236666666666668,0.8386666666666667,0.8268965510976652,0.827370138578616,0.09540789624903523,0.10451156235874894,0.11584817839841077,0.0898469211779143,,resnet101
LinearSVC,0.8191666666666666,0.8300000000000001,0.8256742461992175,0.8218400810662221,0.09443472172176222,0.10667708282475669,0.11071013582414481,0.0873011096586319,,resnet101
DecisionTreeClassifier,0.7881666666666666,0.7696666666666666,0.8112786093215382,0.7854332285954106,0.09419969922103433,0.0940974671993531,0.11478937237354778,0.08841669738472338,,resnet101
RidgeClassifierCV,0.7741666666666667,0.7929999999999999,0.7725586449027455,0.7783876378581235,0.07804646052192246,0.09445104552094698,0.09107000277211726,0.07333489847258928,,resnet101
ExtraTreeClassifier,0.7628333333333334,0.7683333333333333,0.7756971859387561,0.7663301883480022,0.09068581292940295,0.08401388774085705,0.11582594820611092,0.07821241643917909,,resnet101
RidgeClassifier,0.6721666666666667,0.694,0.668492657567834,0.6781914382886263,0.06534970033086099,0.08879189152169245,0.06848188527342239,0.06507781666779504,,resnet101
LinearDiscriminantAnalysis,0.6100000000000001,0.6326666666666666,0.6106449871451746,0.6185507606756009,0.05094114250780011,0.06301322612489116,0.0634592866089936,0.04458609694942594,,resnet101
QuadraticDiscriminantAnalysis,0.0,0.0,0.0,0.0,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 900 samples and 2048 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",resnet101
